calendar_type,date,title,status,priority,days_from_today,days_live,canonical_content_id,content_group,platforms,sales,lifetime_gross,lifetime_net,latest_7_net,mtd_net,ytd_net,net_per_day,first_offered_basis,first_offered_confidence,promo_angle,target_platforms,price_plan,price_tier,test_type,hypothesis,success_metric,notes,source
Released,2023-05-03,Fat Dom GF Makes you Clean Sweaty Ass and Pussy,released,,-1170,1171,Video 0177,Video,"ManyVids, ModelCentro",2,27.97,17.68,,8.09,17.68,0.02,master content release date,high,,"ManyVids, ModelCentro",,,,,,,content_group_summary
Released,2023-05-30,SSBBW Ass Worship in Thong and Tights,released,,-1143,1144,Video 0181,Video,ModelCentro,1,15.99,10.79,,10.79,10.79,0.01,master content release date,high,,ModelCentro,,,,,,,content_group_summary
Released,2023-05-31,SSBBW Lingerie Tease and JOI w Countdown,released,,-1142,1143,Video 0182,Video,ManyVids,1,14.98,8.99,,,8.99,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2023-06-07,Hot Fatty Stuffs a Dozen Ice Cream Sandwiches,released,,-1135,1136,Video 0183,Video,Curvage,3,28.72,21.04,,6.54,21.04,0.02,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2023-06-13,SSBBW Shiny Slippery Oil Play,released,,-1129,1130,Video 0184,Video,ManyVids,1,16.98,10.19,,,10.19,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2023-06-21,Chair Breaking Under Huge SSBBW,released,,-1121,1122,Video 0186,Video,Curvage,1,19.99,14.79,,,14.79,0.01,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2023-07-07,Fat Girl Walks in Sexy Black Bodystocking,released,,-1105,1106,Video 0187,Video,ManyVids,1,14.98,8.99,,,8.99,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2023-07-21,SSBBW Solo POV BJ and Fuck,released,,-1091,1092,Video 0188,Video,ManyVids,2,27.97,16.78,,8.39,16.78,0.02,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2023-07-31,Tight Clothes Make Growing SSBBW Horny,released,,-1081,1082,Video 0191,Video,ModelCentro,3,41.97,28.32,,9.44,28.32,0.03,master content release date,high,,ModelCentro,,,,,,,content_group_summary
Released,2023-10-05,Vibe Until I Cum,released,,-1015,1016,Video 0199,Video,"ManyVids, ModelCentro",2,26.97,17.15,,,17.15,0.02,master content release date,high,,"ManyVids, ModelCentro",,,,,,,content_group_summary
